time throughput_mbps
0 0.0
1 0.000592
2 0.000592
3 0.001184
4 0.000592
5 0.000928
6 0.000336
7 0.000592
8 0.0
9 0.0
10 3.340008
11 5.401952
12 4.118216
13 4.182176
14 3.609376
15 3.713712
16 3.665872
17 3.435216
18 3.04808
19 4.21144
20 4.101376
21 4.332032
22 4.389056
23 6.204272
24 7.772248
25 0.00212
26 0.0
27 0.0
28 0.0
29 0.0
30 0.007984
31 8.063504
32 9.122448
33 7.338128
34 7.346256
35 7.205584
36 5.435808
37 5.918624
38 7.361904
39 7.633432
40 0.0
41 0.0
42 0.0
43 0.0
44 0.0
45 0.0
46 0.0
47 0.0
48 0.0
49 0.0
50 0.0
51 0.0
52 0.0
53 0.0
54 0.0
55 0.0
56 0.0
57 0.0
58 0.000592
59 6.870912
60 6.96672
61 5.885376
62 7.800656
63 7.449856
64 8.585136
65 6.76008
66 5.751824
67 4.623248
68 3.962208
69 0.842816
70 0.0
71 0.0
72 0.0
73 0.0
74 0.0
75 0.0
76 0.0
77 0.0
78 0.0
79 0.0
80 0.0
81 0.0
82 0.0
83 0.0
84 0.0
85 0.0
86 0.0
87 0.590216
88 7.519504
89 7.440144
90 6.090912
91 6.928064
92 7.460992
93 8.362736
94 8.227424
95 8.462672
96 4.406768
97 0.0
98 0.0
99 0.0
100 0.0
101 0.0
102 0.0
103 0.0
104 0.0
105 0.0
106 0.0
107 0.0
108 0.0
109 0.0
110 0.0
111 0.0
112 0.0
113 0.0
114 0.0
115 0.0
116 0.0
117 0.0
118 0.0
