time throughput_mbps
1 0.0
2 0.0
3 0.0004100193816604178
4 0.0006770894827890865
5 0.0007208591940954662
6 0.00016370337117493667
7 0.0002237675972127685
8 17.095289392905492
9 2.7148919849641335
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.00016718281797436764
18 30.982994412699874
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
24 0.0
25 0.0
26 0.0
27 0.0
28 0.0
29 0.0
30 0.0
31 0.0
32 0.0
33 6.451077924244391
34 17.774554361094516
35 0.0
36 0.0
37 0.0
38 0.0
39 0.0
40 0.0
41 0.0
42 0.0
43 0.0
44 0.0
45 0.0
46 0.0
47 -274.55283774539816
